Date,Symbol,Series,Open,High,Low,Close,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
28/04/2004,RELIANCE,EQ,540.05,549,537.15,540.4,6583053,3.57887E+14,,1675537,0.2545
29/04/2004,RELIANCE,EQ,539,544,526.5,529.3,16522558,8.85513E+14,,4949265,0.2995
30/04/2004,RELIANCE,EQ,565,625.1,522.2,526.45,7435287,3.95714E+14,,1755120,0.2361
03/05/2004,RELIANCE,EQ,527,531.3,515.7,528.45,8237410,4.31693E+14,,1962794,0.2383
04/05/2004,RELIANCE,EQ,535.9,633.05,529.1,530.75,4785838,2.55747E+14,,870303,0.1818
05/05/2004,RELIANCE,EQ,532,533.45,527.05,530,4266223,2.26114E+14,,1167804,0.2737
06/05/2004,RELIANCE,EQ,535,543.3,534.15,540.5,5894002,3.17631E+14,,1442562,0.2448
07/05/2004,RELIANCE,EQ,532,538.5,528.8,532.4,4446235,2.36873E+14,,1392256,0.3131
10/05/2004,RELIANCE,EQ,529.7,529.7,515.2,519.2,6391917,3.31779E+14,,2417290,0.3782
11/05/2004,RELIANCE,EQ,510.6,511,483.65,490.25,7292002,3.64151E+14,,2345794,0.3217
12/05/2004,RELIANCE,EQ,484,499.4,484,496.65,6245671,3.08309E+14,,1394420,0.2233
13/05/2004,RELIANCE,EQ,480,524.35,474,511.45,13077915,6.64056E+14,,2896628,0.2215
14/05/2004,RELIANCE,EQ,510,517.8,471.2,477.1,12309172,6.05206E+14,,2615448,0.2125
17/05/2004,RELIANCE,EQ,470,471.9,381.7,404.3,9367243,3.97769E+14,,3338602,0.3564
18/05/2004,RELIANCE,EQ,430,457.9,410.1,433.7,13502105,5.90167E+14,,3518768,0.2606
19/05/2004,RELIANCE,EQ,444.25,466,444.25,452.45,11520015,5.23346E+14,,3111000,0.2701
20/05/2004,RELIANCE,EQ,463,464.7,440.15,443.2,9397118,4.22011E+14,,2958813,0.3149
21/05/2004,RELIANCE,EQ,441.9,442,430.05,439.5,6745232,2.94175E+14,,1674447,0.2482
24/05/2004,RELIANCE,EQ,450,458,445.05,453.85,6756909,3.06642E+14,,1824715,0.2701
25/05/2004,RELIANCE,EQ,453,459.9,436.65,455.7,8006622,3.57528E+14,,1964313,0.2453
26/05/2004,RELIANCE,EQ,460,468,455.4,459.3,6844810,3.16485E+14,,1371823,0.2004
27/05/2004,RELIANCE,EQ,452,457.55,446.6,449.05,5707970,2.58556E+14,,1303233,0.2283
28/05/2004,RELIANCE,EQ,447.05,450.9,426.2,432.7,8904917,3.93144E+14,,1963599,0.2205
31/05/2004,RELIANCE,EQ,431.5,438.9,412.5,429.8,9652900,4.14025E+14,,2553548,0.2645
01/06/2004,RELIANCE,EQ,435,443,432.15,434.2,6215267,2.72509E+14,,1228368,0.1976
02/06/2004,RELIANCE,EQ,435.9,442.95,434.6,439.45,4296672,1.88353E+14,,793496,0.1847
03/06/2004,RELIANCE,EQ,446,452.2,423.1,428.35,7208695,3.17083E+14,,1186608,0.1646
04/06/2004,RELIANCE,EQ,423,435,422.6,433.5,6151647,2.64236E+14,,815123,0.1325
07/06/2004,RELIANCE,EQ,435,449.6,435,444.8,6611675,2.93222E+14,,1750006,0.2647
08/06/2004,RELIANCE,EQ,445,456.55,441.5,455.25,7265744,3.26556E+14,,1411893,0.1943
09/06/2004,RELIANCE,EQ,457,458.25,449.3,450.8,5136240,2.33189E+14,,805471,0.1568
10/06/2004,RELIANCE,EQ,448.9,452,445,447.7,3516835,1.5763E+14,,484882,0.1379
11/06/2004,RELIANCE,EQ,447,447,430,431.7,4722746,2.06711E+14,,645014,0.1366
14/06/2004,RELIANCE,EQ,429,437.4,424.5,434.9,7250412,3.12181E+14,,1525756,0.2104
15/06/2004,RELIANCE,EQ,435.1,452.5,434,450.6,6785824,3.01804E+14,,1335894,0.1969
16/06/2004,RELIANCE,EQ,453,455.8,442.6,446.15,4553908,2.03566E+14,,533688,0.1172
17/06/2004,RELIANCE,EQ,449.4,456.95,439.1,454.3,5902720,2.64034E+14,,762563,0.1292
18/06/2004,RELIANCE,EQ,454,454,441.15,444.75,4919840,2.19882E+14,,486099,0.0988
